start, end, band , stage, highlight
2022-08-19T12:00, 2022-08-19T12:40, BLOODYWOOD, Main, false
2022-08-19T12:55, 2022-08-19T13:35, LORNA SHORE, Main, false
2022-08-19T13:50, 2022-08-19T14:35, COMEBACK KID, Main, false
2022-08-19T15:00, 2022-08-19T15:45, ORDEN OGAN, Main, true
2022-08-19T16:10, 2022-08-19T17:10, EMIL BULLS, Main, false
2022-08-19T17:40, 2022-08-19T18:40, HÄMATOM, Main, false
2022-08-19T19:10, 2022-08-19T20:30, ALESTORM, Main, false
2022-08-19T21:15, 2022-08-19T22:45, WITHIN TEMPTATION, Main, true
2022-08-19T23:25, 2022-08-20T00:35, AMORPHIS, Main, false
2022-08-20T01:00, 2022-08-20T02:00, LORD OF THE LOST, Main, true
2022-08-19T11:30, 2022-08-19T12:15, DEBAUCHERY, T-Stage, false
2022-08-19T12:55, 2022-08-19T13:40, VENDED, T-Stage, false
2022-08-19T14:20, 2022-08-19T15:05, LANDMVRKS, T-Stage, true
2022-08-19T15:45, 2022-08-19T16:30, BENIGHTED, T-Stage, false
2022-08-19T17:10, 2022-08-19T17:55, PARASITE INC., T-Stage, false
2022-08-19T18:35, 2022-08-19T19:35, NAPALM DEATH, T-Stage, false
2022-08-19T20:30, 2022-08-19T21:30, JINJER, T-Stage, false
2022-08-19T22:25, 2022-08-19T23:25, INSOMNIUM, T-Stage, false
2022-08-20T00:20, 2022-08-20T01:20, ANY GIVEN DAY, T-Stage, false
2022-08-20T02:15, 2022-08-20T03:00, VOLA, T-Stage, false
2022-08-19T12:20, 2022-08-19T12:50, MISSION IN BLACK, Wera, false
2022-08-19T13:45, 2022-08-19T14:15, SLOPE, Wera, false
2022-08-19T15:10, 2022-08-19T15:40, VULTURE, Wera, false
2022-08-19T16:35, 2022-08-19T17:05, DISTANT, Wera, false
2022-08-19T18:00, 2022-08-19T18:30, DJERV, Wera, false
2022-08-19T19:40, 2022-08-19T20:25, CYTOTOXIN, Wera, false
2022-08-19T21:35, 2022-08-19T22:20, SPACE CHASER, Wera, false
2022-08-19T23:30, 2022-08-20T00:15, ANGELUS APATRIDA, Wera, false
2022-08-20T01:25, 2022-08-20T02:10, HANGMAN’S CHAIR, Wera, false
2022-08-19T14:00, 2022-08-19T15:00, NANOWAR OF STEEL, Party, false
2022-08-19T15:30, 2022-08-19T16:00, THE OKLAHOMA KID, Party, false
2022-08-19T16:30, 2022-08-19T17:00, RESOLVE, Party, false
2022-08-19T17:30, 2022-08-19T18:00, AVIANA, Party, false
2022-08-19T18:30, 2022-08-19T19:00, VENUES, Party, false